Survey_Date,Kinneret_Level
11/01/2021,-209.955
10/01/2021,-209.95
07/01/2021,-209.94
06/01/2021,-209.94
05/01/2021,-209.935
04/01/2021,-209.93
03/01/2021,-209.92
31/12/2020,-209.92
30/12/2020,-209.915
29/12/2020,-209.91
28/12/2020,-209.905
27/12/2020,-209.9
26/12/2020,-209.895
25/12/2020,-209.89
24/12/2020,-209.885
23/12/2020,-209.89
22/12/2020,-209.895
21/12/2020,-209.895
20/12/2020,-209.9
17/12/2020,-209.905
16/12/2020,-209.935
15/12/2020,-209.965
14/12/2020,-209.975
13/12/2020,-209.975
12/12/2020,-209.965
11/12/2020,-209.965
10/12/2020,-209.96
09/12/2020,-209.96
08/12/2020,-209.96
07/12/2020,-209.955
06/12/2020,-209.96
05/12/2020,-209.96
04/12/2020,-209.95
03/12/2020,-209.945
02/12/2020,-209.945
01/12/2020,-209.95
30/11/2020,-209.955
29/11/2020,-209.945
28/11/2020,-209.945
27/11/2020,-209.94
26/11/2020,-209.955
25/11/2020,-209.98
24/11/2020,-209.985
23/11/2020,-209.985
22/11/2020,-209.98
21/11/2020,-209.99
20/11/2020,-210
19/11/2020,-210.005
18/11/2020,-210
17/11/2020,-209.995
16/11/2020,-209.99
15/11/2020,-210.005
14/11/2020,-210.005
13/11/2020,-210
12/11/2020,-210
11/11/2020,-209.995
10/11/2020,-209.99
08/11/2020,-209.99
07/11/2020,-209.98
06/11/2020,-209.975
05/11/2020,-209.975
04/11/2020,-209.995
03/11/2020,-209.99
02/11/2020,-209.985
01/11/2020,-209.98
31/10/2020,-209.975
30/10/2020,-209.97
29/10/2020,-209.965
28/10/2020,-209.96
27/10/2020,-209.955
26/10/2020,-209.945
25/10/2020,-209.935
24/10/2020,-209.93
23/10/2020,-209.915
22/10/2020,-209.91
21/10/2020,-209.9
20/10/2020,-209.9
19/10/2020,-209.89
18/10/2020,-209.89
17/10/2020,-209.88
16/10/2020,-209.87
15/10/2020,-209.86
14/10/2020,-209.86
13/10/2020,-209.85
12/10/2020,-209.84
11/10/2020,-209.84
10/10/2020,-209.83
09/10/2020,-209.815
08/10/2020,-209.805
07/10/2020,-209.8
06/10/2020,-209.795
05/10/2020,-209.79
04/10/2020,-209.78
03/10/2020,-209.77
02/10/2020,-209.76
01/10/2020,-209.75
30/09/2020,-209.745
29/09/2020,-209.74
28/09/2020,-209.73
27/09/2020,-209.725
26/09/2020,-209.715
25/09/2020,-209.705
24/09/2020,-209.7
23/09/2020,-209.69
22/09/2020,-209.68
21/09/2020,-209.67
20/09/2020,-209.66
